Date,Open,High,Low,Close,Volume,rsi,adx_pos,adx_neg,macd,gdp_indicator
3/31/1993,451.9700012,454.8800049,451.6700134,451.6700134,279190000,56.30306812,23.67512739,21.17024197,-0.290092473,1
4/1/1993,451.6700134,452.6300049,449.6000061,450.2999878,234530000,53.52542816,22.27231065,23.96382369,-0.327806239,1
4/2/1993,450.2799988,450.2799988,440.7099915,441.3900146,323330000,39.78040501,18.52996508,35.51349919,-0.920456286,1
4/5/1993,441.4200134,442.4299927,440.5299988,442.2900085,296080000,41.41686645,17.88864547,34.6122524,-1.201714865,1
4/6/1993,442.2900085,443.3800049,439.480011,441.1600037,293680000,39.94895842,16.61731849,34.06577164,-1.399866092,1
4/7/1993,441.1600037,442.730011,440.5,442.730011,300000000,42.97313501,15.92058515,32.63745702,-1.360040778,1
4/8/1993,442.7099915,443.769989,440.019989,441.8399963,284370000,41.69135707,16.75418936,30.33417664,-1.327037134,1
4/12/1993,441.8399963,448.3699951,441.8399963,448.3699951,259690000,52.81237423,23.02917956,26.78888728,-0.823486777,1
4/13/1993,448.4100037,450.3999939,447.6600037,449.2200012,286690000,54.04115474,25.59046536,25.44505971,-0.412010769,1
4/14/1993,449.2200012,450,448.019989,448.6600037,257340000,53.06083214,24.62898875,24.48904624,-0.168859515,1
4/15/1993,448.6000061,449.1099854,446.3900146,448.3999939,259500000,52.58386864,23.33211993,26.3550305,-0.024427961,1
4/16/1993,448.4100037,449.3900146,447.6700134,448.9400024,305160000,53.51838719,23.08801823,25.44268037,0.101667633,1
4/19/1993,448.9400024,449.1400146,445.8500061,447.4599915,244710000,50.57628518,21.55120024,27.43136624,0.080515814,1
4/20/1993,447.4599915,447.4599915,441.8099976,445.1000061,317990000,46.21360286,19.18896587,32.26225419,-0.088160438,1
4/21/1993,445.0899963,445.769989,443.0799866,443.6300049,287300000,43.68581746,18.16791809,30.54557476,-0.283462214,1
4/22/1993,443.5499878,445.730011,439.4599915,439.4599915,310390000,37.43110361,16.02722794,33.74925016,-0.656876715,1
4/23/1993,439.4899902,439.4899902,436.8200073,437.0299988,259810000,34.34518131,15.2055977,37.08797294,-1.009812602,1
4/26/1993,437.0299988,438.3500061,432.2999878,433.5400085,283260000,30.46099247,13.51490773,41.27120903,-1.396756409,1
4/27/1993,433.519989,438.019989,433.1400146,438.0100098,284140000,39.84473867,12.32455102,37.63615199,-1.273559938,1
4/28/1993,438.0100098,438.7999878,436.6799927,438.019989,267980000,39.86424859,13.29288767,36.14667303,-1.118801069,4
4/29/1993,438.019989,438.9599915,435.5899963,438.8900146,249760000,41.64132493,12.44944014,35.90539911,-0.89493609,4
4/30/1993,438.8900146,442.2900085,438.8900146,440.1900024,247460000,44.29040599,17.96318262,33.58971853,-0.610013193,4
5/3/1993,440.1900024,442.5899963,438.25,442.4599915,224970000,48.67182521,16.50030877,32.05520897,-0.238462948,4
5/4/1993,442.5799866,445.1900024,442.4500122,444.0499878,268310000,51.54636441,20.61302191,30.37345625,0.125054323,4
5/5/1993,443.980011,446.0899963,443.7600098,444.519989,274240000,52.39506007,21.43881596,28.98104766,0.392720009,4
5/6/1993,444.6000061,444.8099976,442.8999939,443.2600098,255460000,49.87308419,20.60492552,29.60517269,0.474977902,4
5/7/1993,443.2799988,443.7000122,441.6900024,442.3099976,223570000,47.99715451,19.73497715,30.89682648,0.455412489,4
5/10/1993,442.3399963,445.4200134,442.0499878,442.7999878,235580000,49.06139625,21.95228139,28.70831021,0.463911466,4
5/11/1993,442.7999878,444.5700073,441.519989,444.3599854,218480000,52.40126764,20.53460781,27.97653051,0.556783147,4
5/12/1993,444.3200073,445.1600037,442.8699951,444.7999878,255680000,53.33072529,20.79411914,26.58816357,0.624925026,4
5/13/1993,444.75,444.75,439.230011,439.230011,293920000,42.11853494,18.40203121,31.04720819,0.289027468,4
5/14/1993,439.2200012,439.8200073,438.1000061,439.5599976,252910000,42.88464892,17.72398689,32.32395381,0.09335725,4
5/17/1993,439.5599976,440.3800049,437.8299866,440.3699951,227580000,44.81547564,17.95937116,30.52802056,0.026256568,4
5/18/1993,440.3900146,441.2600098,437.9500122,440.3200073,264300000,44.71501204,18.58110572,28.32788742,-0.01168379,4
5/19/1993,440.3200073,447.8599854,436.8599854,447.5700073,342420000,59.05234795,27.07369437,22.51946621,0.43653667,4
5/20/1993,447.5700073,450.5899963,447.3599854,450.5899963,289160000,63.31959162,30.57168936,21.14822506,0.895032481,4
